코드값,코드값의미
ZB0006,지적재조사업지구
ZB0007,등록사항정정대상토지
ZB0008,일반경관지구
ZC0009,문화재보존영향 검토대상구역
ZD0004,문화재보존영향 검토대상구역
ZD0001,숙박시설제한지구
ZD0002,위락시설제한지구
ZD0003,위험물저장및처리시설제한지구
ZD0007,사고지
ZD0008,지적재조사사업지구
ZD0009,역사문화환경 보전지역
ZD0011,개발행위에따른배수관설치토지
ZD0006,시지정문화재천연보호구역
ZE0015,도시계획시설 이적지
ZE0016,성장관리방안수립지역
ZE0017,지적재조사 사업지구 내 토지
ZE0018,전통상업보존구역
ZE0014,문화재보존영향 검토대상구역
ZF0002,문화재보존영향 검토대상구역
ZH0001,전통경관지구
ZH0002,조망권경관지구
ZH0003,상업개발촉진지구
ZH0004,공업개발촉진지구
ZH0005,첨단산업개발촉진지구
ZH0006,외국인투자개발촉진지구
ZH0007,레포츠개발촉진지구
ZH0008,숙박시설제한지구
ZH0009,위험물저장및처리시설제한지구
ZH0010,보행자우선지구
ZH0011,주거환경보호지구
ZH0012,농수산업지구
ZH0013,시계관리지구
ZH0018,위락시설제한지구
ZH0035,숙박·위락시설제한지구
ZH0021,문화재보존영향 검토대상구역
ZH5701,김포시향토유적보호구역
ZI0002,문화재보존영향 검토대상구역
ZI0009,동강유역자연휴식지역
ZK0014,문화재보존영향 검토대상구역
ZL0010,역사문화환경보존지역
ZM0006,문화재보존영향 검토대상구역
ZN0001,제1종자연경관지구
ZN0002,제2종자연경관지구
ZN0003,제1종수변경관지구
ZN0004,제2종수변경관지구
ZN0005,전통경관지구
ZN0006,조망권경관지구
ZN0007,숙박시설제한지구
ZN0008,위락시설제한지구
ZN0009,위험물저장및처리시설제한지구
ZN0010,보행자우선지구
ZN0011,주거환경보호지구
ZN0012,농수산업지구
ZN0013,도계관리지구
ZN0014,문화재보존영향 검토대상구역
ZO0010,문화재보존영향 검토대상구역
ZP0010,문화재보존영향 검토대상구역
ZQ0001,중점경관관리구역
